Title,Name,Ratings,Review
Future electric,2 years ago by Ananay,4,It is very smooth scooty Its eco friendly. It helped a lot in saving energy and reducing emissions it's maintenance is somewhat high but consumption is low it's average is about 12 paise per km which is very less l am happy with this scooty a lot l will recommend this to other clients also with trustworthy.
Hero electric optima,2 years ago by S Nayak,4,Hero electric optima is a good entry level electric scooter with a maximum speed of 40km/hr. Pickup is good even when 2 persons are riding on it. Gives a smooth and comfortable ride. Suspensions are goid with maximum shock absorber. This scooty can go upto 60kms in a single charge. Charging time varies between 4-5 hrs at most.I have been using it since march 2019 and have no problems yet. The bike also has less maintenance compared to other fuel bikes .The build quality is also very good. Overall i am truly satisfied with such a awesome vehicle from hero electric.
Optima my passion,2 years ago by Naresh Kumar,4,I bought hero electric optima last three  month ago. I like it very much.It designs so cool and riding very comfortable. I haven't any problem with this.There is no maintenance.I charge it three to four hour and use it for full day.My wife and daughter also use for marketing and tuition class etc simply it fulfill all my needs   thanks.
Nice scooty optima,2 years ago by Himanshu,5,"Optima model scooty very good and look very awesome. Riding experience from my friend. I had drive this vehicle hero electric optima from my friend and it is to good and amazing experience and i like its body design and good speed its speed is 40 kmph and have drum brakes and on full charge it can drive 65 km. So guys i think you may take experience of hero electric optima and it is eco -friendly vehicle.Buying experience is good, nice service.Riding very smooth and safety.I like the matte red colour, i give 5 star for all service but i give 5 star for mileage.Service are good. Affordable price , good looking."
Guys it is good vehicle and it is eco-friendl,2 years ago by Hemal,5,2. Riding experience from my friend. I had drive this vehicle hero electric optima from my friend and  it is to good and amazing experience and i like its body design and good speed its speed is 40 kmph and have drum brakes and on full charge it can drive 65 km. So guys i think you may take experience of hero electric optima and it is eco -friendly vehicle.
Battery service costly and Battery life is sm,2 years ago by Sandip Das,1,"Do not buy e-scooty , otherwise you will suffer . I am writing this review after using middle of 2016 . Worst battery service . Stock battery dies within 1 year and 2 months . I did not use 8 months thereafter . Then I installed new set of battery middle of 2018 and wished this time more careful about battery than before . But what a bog mistake . Now again I am suffering . New battery dies again within 1 year only . Let me clear that I am very careful about battery . I never charged it to the load of 100% . I always charged less than 100% . I never loaded my scooty to much because I was fearful about over-load damage . I always discharged it fully before charge again . And every time I gave at least 1 hour rest , before and after charging . But still it depressed me ."
My dream e-bike,2 years ago by Aditya Ohara,5,"I really excited to purchase this e-bike... Hero optima is one of my best choice in e-bike so i would like to buy this very soon..Much better than other options in e-bike... i suggest all who want some good ride with best experience,  you will definitely have a good option in ev.  money saving and environmental  product...."
Insurance must be available for low speed bik,2 years ago by Rajiv,3,"I had electric optima la battery model earlier also., again i bought optima with li battery model., riding experience is good as earlier - smooth running without any noise . Amazing style - looks pretty , but the thing which i dislike the structure made with fibre - may not resist prolong . Somehow it is better then earlier. With li battery vehicle goes hike in price - at this price tag that should be insured , company must look after in this matter for those who have purchased scooty too. I had brought yesterday evening on 13th june , hope it will be again better - hopefully some more better experience for me and kids too , as i purchased low speed scooty. Must provided with insurance facility."
Nice ride,3 years ago by Aditya,5,Nice work on a scooty then feeling in very comfortable ride on scooty on low maintenance dependable for ride so working on scooty then battery charged fast running on this new condition then work on scooty 45 km running on scooty my parents very happy on scooty running then comfortable scooty then comfortable break.
Worst service i faced in my life,3 years ago by Shiladitya Chakraborty,4,"Product is good. But service is measurable. My under warranty battery taken by dealer for replacement >15 days. Still no one knows the status. Service manager, dealer customer service dept all in dark. No job sheet is there. Hence i can't even go to court.The vehicle is good. It used to provide mileage of 50. But after 10th month mileage reduced. In 11th month i approached co for battery replacement."
Review,3 years ago by Ashish,3,"Only problem which i faced with this scooty is mileage, as it runs only 30-40 km however company has claimed for 60km. If company can look into this and get it resolved, it will be super bike, people really liking this one, when i on road and they as the details of the same. Only constraint is mileage.Looks are awesome, no one can tell by looking that its a electric bike."
Review,3 years ago by Lucky,5,"This scooty is cheap in comparison to his price ,over all this is working but his engine performance is not working when scooty cross 1,00,000 km ,so over all scooty is better than activa 4g,5g,125 activa this is made by hero hero is best in mechanism of scooty and bike so i will prefer to buy optima hero."
Hero optima is best,1 year ago by Yash Gajbare,5,Buying experience was great.Looks and performance are excellent. It is very comfortable to ride. Servicing is also not costly . And hero gives us 3 years warranty for battery. And the scooter who's speed is 30 does not require license. Charging takes 4 hours to complete and once charging is done full you can ride till 60 km.
Not very good,1 month ago by John,2,"1,2,4 service center not cover warranty any minor problems. I will face many problems this optimal hs500. Very slow scooter. My headlights problems. But service center not response. Worthless scooter. Spare parts also very expensive very slow scooter. My headlights problems. But service center not response. Worthless scooter. Spare parts also very expensive."
Lovely e bike,3 years ago by Bilal Hussain,5,I like the alloy rims on the tires and it is good looking and i love to ride the vehicle it's superb to ride it and i changed the tyres to tubeless and i put anti theft on it and handle bar light now it look like awesome and you gays to check it ok and buy a e bike from hero you gays will love it i promise gays and it is fantastic.
Hero Electric Optima review,11 months ago by Urvashi,4,"Its amazing bike with great colors, very good & smooth. It is easy to carry and easy to handle to every one. It is save fuel and saves our environment and also save our greenery. It's look are so pretty & stylish."
Hero Electric Optima review,4 months ago by Wren Roy,2,"The waiting time after making the 3000/- advance is about 2 months. The vehicle built quality is not that good and breaks are not good. The distance covered per full charge is 100 km (expected). But the operational cost is very low compared to the petrol scooters. Service side till now I have not experienced. Seat is not that comfortable. If you have some alternative, then you may not think for it. Look wise ok. Speed is max 48 km/h which i got with 2 persons riding on it. The body parts are of fiber. Subsidy amount of 43000/- will come after 3 months of registration."
Its average product,3 months ago by Prashant Singh,3,"Built quality is bad.  Body parts are made up from poor quality plastic, mudguard, motor cover panels etc but battery performance is nice. Speed is sufficient for city ride but on climb, it feels lack of power. Company should improve their mechanics, costumer care, spear parts availability network etc."
Below average scooter products,3 months ago by Rameshwar Deshmukh,1,"1)buying experience is very bad  not  fulfilled any comments,2) not comfortable. 3) average. 4) very low quality material used required heavy maintenance.5) breaking system is very poor. Drum break is always broken. Rainy & moist seasons breaks is not operate gives the noise and jam the whole scooter running it very horrible & difficult to move the vehicle even single inch also. Head light is low beam."
Hero optima li low speed,2 years ago by Celestine,3,"The buying experience was just amazing. I was hoping to buy a scooter that helps my spouse to learn riding a scooter. It is really helping my spouse. I am using it on a daily basis to commute around 30 km. This has perfectly saved my pocket from fueling my car on daily commute. The only thing i am very much concerned is the speed. I bought a low speed model thinking that it is sufficient. Trust me it is not working out on roads like the omr it express way. If i have to make a turn on a 3 lane road, i really need to be cautious as the speed is not in sync with others on the road. I would suggest not to go with a low speed model. Rather get high speed models, that may come in good for such roads."
Test ride review,2 months ago by Ritwik,4,"I took a test ride at westend mall aundh and really liked the entire experience. The bike is very easy to handle, has a sporty design and is very comfortable. I even sat with a person behind me, and there was no problem in speed or the handling of the bike. Booked one, hope they start delivering kratos and kratos r soon."
Worst every bike...,3 months ago by Bharathi Chandran,1,"While in thailand we have rented 5 honda click scooters and 7 in total. The bike i rented from aya was poorly maintained, had half a tank of fuel when I rented, and i didn't feel comfortable riding it because of all the issue it had from prior accidents from previous customers. When asked to switch bikes there were none left so we ended up having to use it. Every other bike we have rented has been amazing.As for the business side of things, the renting of the bike was ok but trying to return the bike was a hassle. The process was confusing and when we didn't have the receipt which was missed place whilst traveling, staff became very rude and unhelpful. The woman we were working with had the worst attitude when trying to exchange our bike for the passports and was generally very unpleasant to work with even for simple paperwork."
"No more waiting, go for another one",2 years ago by Bhavesh Patel,1,"Waiting for so that now i have removed this bike from my favourite list, will definitely go for other electric bikes already available in India, commitments should only be made when the company is sure about its release and availability to the consumers, this firm is still struggling for its research and development."
Wait and Wait,2 years ago by Ritesh Talele,1,Still waiting for this bike. Waiting and Waiting from last year or more than year. Now decided go with Revolt bike. Now launch in Few month before. But unfortunately booking are full till Oct. Many time I registered my details for TORK bike but still no reply from tork team. I go with other electric bike.
Postponed and postponed,3 years ago by Rohit Chowdhary,3,"Tork t6x ....I have been waiting for this bike since last year....1st launch date was given as dec,2018, Then it changed to jan,2019....Again for the 3rd time it changed to july 2019.....Hope this doesn’t get postponed further....I have been waiting to purchase this bike bt if date’s keeps on postpnd then will purchase another one......Just reading the reviews from people which is good...But company is not serious to launch on given dates..."
Good job tork,3 years ago by Lokesh Kumbhare,4,"Good job*****. Nice bike in looks , power like petrol bike , budget friendly best thing is electric bike are not harmful for environment this bike very soon in my garage & i go to ride with my friends ..Now this is the time of e-bike\car , after 2020 almost every bike & car will be electric & *tork* rule the market.."
Good bike but now lack of infrastructure and,3 years ago by Vikas Kumar,4,"As how much i know about this bike is its superb no pollution tension, no petrol tenson, easy to ride, no gear system,just pull the race & go. But some issue i thought is deciding factor like price is little bit high, and the availability & the most important point service points these are major point in my sight."
Awesome,3 years ago by Sujay,5,"Awesome electric bike and eco-friendly too low nvh n peace of mind,totally superb bike and riding experience is too good, look wise is great road presence, performance is too high, very low maintenance Only problem is lack of charging points otherwise too good electric bike In this segment this bike will be first in class."
Vfm but only needs a proper infrastructure fo,3 years ago by Nihar Patil,5,"This is one of the kickstart in the market of two-wheelers which will end a region of rising oil prices. The design of the bike is fairly based on fz-s, as it was tork motorcycle's 4th prototype. Since it is an electric bike, the fuel tank is converted into 11l boot space, large enough to fit a full sized helmet. The only issue it might face is the charging points."
Very good bike,3 years ago by Manish Yadav,5,"I like this bike, this is very grateful experience, i like electric bikes, there is no  worry for petrol  filling and waste of money. Just charge and go to your work without worrying, any condition you can run without money, charge in your home and go wherever you go to your work and your picnic and your family works this is very good for every people in this time go green."
Zero noise zero pollution from sporty looking,3 years ago by Chetan Kamble,4,This bike looks amazing and for me it is good for daily use very soon i'll the owner of this bike  for sure it's and hope to available in future with more colour combination make bike more sporty looks without any noise. I'm like the electric bikes and this is the real competition for zero x which is also one of the best e-bike and one the my favourite e-motorcycle.
Review,3 years ago by Tejash,3,"Total price of this bike after taxes will be 1.36lakh. Which is too much high for Indian two wheeler market.And there is no charging station available so if we ride from mumbai to vapi-gujarat then we will have to drive for 100 km then for 70 km we bike need to be send by transporters vehicles.Option to change battery need to be available so we can carry two charged batteries while travelling for long distance.And price must be below 1 lakh, if govt provide subsidy then only people will be interested in buying environment friendly vehicles."
Money saver,3 years ago by Nawalshan,5,"The price is decent for this bike, even if some users find the price a little high. The only difficulty we south Indians may face is that the showroom is up north. If we ever come across any issues , if would be hard for us to contact service centres. In all other aspects, i think this bike is gonna change everything. A huge relief would be that we don't have to pay for petrol anymore. The bike has decent power too which other electric scooters lack and of course it looks good."
A review,3 years ago by Mantripragada Sai Pavan Aditya,5,"Bike comes with an dc brushless motor with an battery capacity of 72ah , which means you can seamlessly ride upto 90-95 kilometres per full charge on a heavy traffic road and bms system gives you a auto maintenance of bike due to its cloud connectivity , the company gives suggestions about your bike maintenance if required and it comes with good storage space and charging ports."
Range is the matter of concern and price is l,3 years ago by Praneeth,4,"On a whole tork t6x will costs you around 1.36lakh including taxes and all. Which looks slightly higher price for a normal guy like me to think of buying it. But, when i see the specifications (electric, design,mobile & bike connectivity, cloud connectivity with the manufacturers,top speed,charging time,water resistant battery) , i feel it is worthy to give a chance of buying.When it comes to the range(100km) , we might not getting the 100km range while driving on different roads using different speeds as 100km range suggests 0-100 percent battery. So we can get around 70km range while riding which is slightly lesser i feel, which is why i gave 4 stars,if it is around 150km then it would be the best choice.Coming to the tubeless tyres,abs breaking technology sounds good.I don't know whether the battery is detachable or not.Because detachable battery nodes are easier to carry for charging."
Fabulous bike,3 years ago by Parvez,4,"Its an amazing bike. It has fabulous look with great pickup and speed of around 100 kmph. Control of the bike is good, speedometer is accurate and not like other e-bikes who are using fake speedometer to fool their customers. I was riding on this bike and my friend was on discover 125 cc and i was able to win the race. Top speed of discover 125 cc is 90 kmph. Its so easy to charge and we and no need to kick start it just move the accelerator and bike starts running."
T6 superior.... X,4 years ago by Jugnuprata,4,It was amazing I got famous in my city with this bike It's glamour and power is superb Charging speed is good and travelling with t6x makes a new feeling it's torque is nearly same as it was given. It is also good for long ride. There best thing about it is that's every one in my family and friends are crazy about it It's really t6 super..... X.
Awesome bike. Only ABS is missing.,4 years ago by Sadanand Adilkar,5,Bike will set a benchmark in Indian daily commuting.Bike has all the required attributes. It is only lagging in terms of safety. The company should allow dual channel ABS at least optional for the bike. With ABS it will be a complete package. Please set up a dealership in Mumbai which indeed will be the bigger market for the bike.
Budget commuter street fighter bike,4 years ago by Kalyan Kumar,5,I would like to own this bike for the following reasons 1. Eco friendly 2. Electric bike 3.No fuel cost 4.Stylish streamline design 5.Abs breaks 6.Safety features 7.Tft screen interface 8.Tubeless tyres 9.Easily charged 10. Bike's track records 11.Good pillion seat 12.Helmet space 13.Mobile charging 14.Cloud updates 15.Cloud detects any malfunctioning in bike 16.No regular servicing 17.No oil chaning 18.Dual disk breaks 19.Good suspension 20.Bike to bike connectivity 21.Mobile to bike connectivity 22.Family suited.23.City street fighter bike 24.Water resistant battery 25.Company service engineer check ups.
Good for renew energy,3 years ago by Raghu,4,"The electric motor on the t6x is good for 27 nm of torque and claims 100 kmph of top speed from the motorcycle. Weighing just 130 kg, t6x even claims a mileage of 100 kilometers on single charge. It carries nearly every safety feature like dual disc brakes, abs, anti-theft alarm and even takes just 60 minutes to charge the battery. It rivals no other as its exclusive place makes it the best electric two wheeler of the country."
Amazingly surprise,3 years ago by More,5,Must buy bike as it have capacity to run around 100 km and with lot of weight . So for daily need it's a comfortable bike to use in city and around city . Nothing else but enjoy. For gentle use and for mileage purpose it is a good choice as it can give only 10 paisa per km . It can neutralise burden of heavy petrol rate hike problem. Just go for it.
Go green energy,3 years ago by Ashok Patel,5,"Change from fuel to electric. Less maintenance ride. No fuel. No oil. New race on the road which is totally safe. & with safety & security in mobile phone.Very stylish it seem all in one package as sporty, eco friendly, very economical and perfect e-moto for e generation on roads.Last but not the least make in India."
Unexpected experience,3 years ago by Sagar,5,I was called for a test ride and somehow got a chance to ride it but had a short ride. Though it was short but it was amazing. Unexpected pickup and unexpected performance coming from an electric bike. Was really shocked to ride it but amazed as well. Very good experience. Eagerly waiting to buy it.
Good specifications but not available for pur,3 years ago by Anuj,5,"I am waiting for this bike since months. I have mailed the company about how to purchase, but could not get any reply. I don't know how few people reviewed this bike claims that they have owned this bike. I am desperately waiting for launch of this bike so that i could get rid of my petrol bike. Hope it is made available soon."
Bike with awesome features,3 years ago by Vinod Kakade,4,"I own bajaj discover 100t bike from last 6 years. Seeing today's petrol price, tork t6x is the best option. I have seen the full specification like look, performance, features, battery and power of this bike. Which looks good in each field. As electric bike, there will be no air pollution, no noise and pocket friendly. I am waiting for launch of this bike. So that i can replace my current bike."
Awesome tork t6x bike,3 years ago by Pawan Barad,5,"Hello, When i read about this bike i love to buy because of its super fine body and mileage. It's price is good and in this price you can not find any better bike than tork t6x one more important thing it run on electricity and it's mileage is very good and this bike is eco friendly and that's the most important part of it. It have awesome features like gps , anti thief system , low better indicator and many more. I hope you like my review. Thank you."
Best eco friendly bike near us,3 years ago by Sudarshan V,4,"I am waiting for this kind of vehicles should come more in the market.For looking wise it is too good , when come to performance we have to see & maintenance , it is also important that price of the product , by this more sales and adoption electric vehicles should increase in feature ,and charging stations in road ways is also a key point."
Good bike for the future of Indian young star,3 years ago by Vnahim,5,I need to buy tork but  the showroom is only available in mumbai and delhi if the showroom in tamilnadu i will definitely buy tork and also refer the tork bike fore my friend  who love green India and company should reduce  bike price  for the  collage who are loving electric bike and bike suitable for officers who take long ride to reach  his office.
Kratos review,2 months ago by Nitin Yadav,5,"I recently took a test ride of the kratos, and i am glad we finally can see torque motors coming out with the best electric motorcycle to ride. Kratos r has the potential to become the market leader in the electric bike segment. •this bike is for anyone and everyone, my wife really loved it. Its really the king of electric two-wheelers."
Family electric bike,2 months ago by Ritesh Parikh,4,"I, my spouse and 20 year son took the test ride of kratos. Their ride was good riding experience. I had a little longer run. All of us found the ergonomics, styling, sitting posture very comfortable.. We found the team very knowledgeable & supportive. We drive a scooter & upgrade is sure and economical"
Kratos r will create revolution in the motorc,2 months ago by Suraj Shelar,5,I absolutely love the look of the bike. I like the design of the bike as well as a lot about the whole electric thing. One of the main characteristics of this bike is its speed of 105 km per hour. A new generation of electric bikes is here and it is called the torque motors kratos r.................
Best performing ev,2 months ago by Amit Kaul,5,"Glad to have a test ride of kratos r at west end mall pune, overall ride experience was amazing, bike is good in terms of styling, performance , ride and handling and comfort. Kratos r seems to have good potential to become market leader in ev segment. booked one already. Eagerly waiting for delivery."
Excellent electric motorcycle,2 months ago by Surojit Bagh,5,I like the style and seat comfort of the motorcycle. I got impressed by the acceleration while giving throttle in sports mode. Real world range 120km which is quite impressive. Top speed is 105kmph which is more than enough. The best part is that its completely made in India.Perfect electric motorcycle
Game changer indian electric motorcycle,2 months ago by Rajeev Saraf,5,"Tork motors kratos- r is excellent -make in India electric motorcycle I have ever ridden, high performance delivering the best pickup on road ( sport mode), looks very attractive  - agile styling, comfortable seat with good suspension on  speed breakers. Though it is commuter, it gives experience of sport bike riding. I think its smart, ecofriendly & on the  top very cost-effective transport  now available for every indian."
Dream,2 years ago by Vedic Bisht,5,"Its my dream scooter. I really want to buy it Its environment friendly because it's electric, it's a new launched electric vehicle and it's highly efficient and its looks are quite good and good  finish and a nice stylish look and love this scooty and i just want to buy it in the future and i will buy it."
Experience with chetak was awesome,2 years ago by Nikunj Bhuva,5,93 kms awesome riding experience in one time charge chetak. Awesome looks.Performance wise very high.We will buying for business purposes and my regular workout.Experience good in both working.Battery is almost 97% charge and we will ride 91 to 95 kms so battery life is good .So service and maintenance newer used this bike any time.This is battery operated bike so pollution control and safe environment.So i suggest every person buy this bike.Good buy.
Chetak,2 years ago by Vijay Bharat Yadav,4,It good experience with bike.....Same like old bajaj chetak.....Humara bajaj advertisement...When my father drive old bajaj chetak. Feeling like fly in sky .....Superb experience  love you so much bajaj chetak....When i drive you feeling sitting with my girlfriend. You save lot of money by filling petrol. Its a electric charging superb.Full charge in five hours.
Wanna gift to my dad,2 years ago by Biki Das,5,"Love for the brand i had 3 scooters in my child hood . I want to have the urban version in my collection . Eagerly waiting to have the new ride . When i was in my 6th standard i started riding scooter when my uncle use to drop me to school , i first started with balancing the bike , than shifting gears ."
Cheetah as chetak with more efficient and spe,2 years ago by Sivasakthivelan,5,"Today i have searched for electric scooters more than 20 variants in different brand comparatively chetak has no competition, it took a place @first 1) mileage 2) speed 3)one time charge capacity 4)motor power 5) classic design 6) weight carrying capacity. These are important things to be note in electric scooter. Finally priced at such much special features containing scooter is first low price in top speed scooter @75kmph."
First Impressions,2 years ago by Dev,5,I've owned this scooter for almost a month now and it's turned out to be very efficient. The scooter seems to be cost efficient in the long run given the fact that its electric and could save fuel prices if used everyday. The technology and quality of mechanical parts are on power with the best in the auto sector. The features are also a huge plus with regenerative power and bluetooth sync. Overall a great scooter.
Great to drive,1 year ago by Abhay Shinde,5,"Leg space is small otherwise it's good scooter than petrol ones. I have to give information about this scooter number of people every day when i drive. Enough charging points on each petrol pump and garages will give ease and confidence to buyers, storage small but not bad. Great safety against theft. More suitable for office goers"
Awesome,1 year ago by Jaffu,5,"Since, I bought this scooter I saved lot of money and it looks sexy everybody asks which company and price. Worth for every penny I can say that best then Ather. leg space is smaller but overall pick and mileage is great. hats off to Indian legend Chetak. If you have a doubt or confusion between Ather and Chetak I can tell you  go for Chetak."
Cheetah like scooter,1 year ago by Sahil Kacheshwar Ilhe,5,This scooter is very much better than any electric scooter I love this scooter I want to take this it can supportable to our villages road this scooter one of best I really love it this scooter can go up to 95 km is the one of the greatest features it looks is very attractive and it comfortable to any one person who buy it.
Bajaj Chetak price increase.,1 year ago by Anil Bharti,1,"Bajaj Chetak has increased the price of their electric scooter for second time without any noticeable up gradation. The first hike was Rs.5000/- and thereafter a whopping hike of Rs.27000/- in March 2021.”Bajaj” is exploiting the trust of Indian customers who are having great faith in this brand. On the contrary, the manufacturer has little sentiments for their trusted customer and encashing every opportunity to swallow the subsidy amount and hard earned money of the buyers. As a thumb rule the production cost goes down with increase in production volume. Then why so frequent and intense price hikes? this is not only the story of Bajaj Chetak, every second electric scooter that gain slightest popularity has adopted the similar strategy, like Ather-450x who did raise a few months back. They have no ethics, no sentiments for environment, country or people. I appeal to general public to boycott their products, there are many other great options available in Indian market, and we just need to give a fair trial to many other new manufacturers. Our entrepreneurs must imbibe the thinking of Elon Musk, co-founder of Tesla Electric Company, whose sole motive is to save environment and promote electric cars. Their technology is open for everyone."
Bajaj Chetak review,9 months ago by Praveen Joshi,5,It is middle range of scooter. First thing it is made in India scooter. It give smooth riding. The look of scooter is not bad look like retro style and have 2 people seats comfortable in scooter ride. This scooter have low maintenance. Pros of scooter is give 90 km in full charge and cons is look of scooter is not good.
Chetak bike has sudden stop problem.,8 months ago by Praful Kamble,1,Don't buy this bike i had worst experience ever while riding bike. Bike stopped suddenly in middle of highways. It risky to have such experience on bike in middle of roads i have shown this problem to service center but they also not able to find exact problem from 2 months. They have changed mother controller and checked several times still that problem exists.
Dont waste your hard earning,7 months ago by Syed Adnan,1,"I bought bajaj chetak EV within 8 days of riding. Problem started. Now my bike does not go beyond 15 km/h speed, It jerks heavily, i called showroom manager and they  told me come to service center, can you believe new showroom bike having a big problem within 8 days of purchased full payment bike, i feel very horrible, because my hard earning will be ruined now. I feel like Bajaj betrayed me. What can i do now please please any one help me. How to get rid of this problem."
Super duper bike,5 months ago by Amol Bhatewara,5,"I had ride this bike of my uncle. I found its really good , attractive look, very comfortable, speed wise good pickup, ignition start wise very smooth and less noisy . I am really thinking to buy it .Only I am stuck at battery warranty, its servicing and maintenance and any pros and cons:-Other wise I am really happy with this bike."
Chetak of maharana,10 months ago by Amit Kumar,5,I am buying a chetak like real chetak of maharana partap. When i ride chetak its flow in the air with no noise is like wings of eagle. It looks royal with its simplicity. Its service and maintenance is very low under your suitable budget. Its amazing superb and give wide responsibility to clean our environment.
Ola s1 pro review,6 months ago by Shivang,4,"Let's start it from its exterior. The ola s1 pro has got fabric body and the battery part is metallic finish to protect the battery. The ola s1 pro has got all led lights including indicators, headlamp, taillamp and the s1 pro has got 2 led headlamps and you can choose to light up 1 or both. Coming to the touch screen of s1 pro, the touch screen has got all information regarding the s1 pro the speed, battery, km driven, km left to drain battery and also it got a bluetooth connectivity for maps. BTW it has a offline map also for attending calls, cutting the calls. The s1 pro have 2 speakers, could you believe it. You can listen songs by bluetooth connectivity on them and the s1 pro has got a usb socket also and the utlity space on both the knee sides. Now moving on to the top speed of s1 pro. OMG, the first scooter I have ever seen which reaches 110-115 km/h easily. It has got 3 modes normal, sport, hyper.  Whenever you switch modes from normal the screen shows you the decreasing battery which is normal. The full capacity of full charge running of s1 pro is approx 180 kms which is awesome. Now let's move to the boot space, It has got very huge boot space. You can easily fit 2 helmets on it. Now moving to the looks, touchwood the ola s1 pro is very good looking and premium scooter. You get alloys and both disc brakes.. In my opinion it is the best smart electric scooter available in India with decent price.. The price of s1 pro is approx 1,20000 INR. Now move to the pros and consPros-1-looks2-performance3-heallty for nature4-resonable for running cost5-boot space6- the smart touch screen7-and more and more mileage Now let's move to the consCons-1-costly price2-mono shock suspension."
Ola s1 pro,1 month ago by Shreyasjaware,5,It is just amazing and the top speed on paper is 115 km/h but in real in turbo mode it gives a top speed of 70km/h and the charging time is not so much because when we see the range after 100% charging the vehicle it gives a range of 147 kms. The charging time is 7 to 7.30 hours.
Awesome scooter with best range and speed.,2 months ago by Bhavesh,5,"Bought online, door delivery service.Smooth rideGood look, best performance, range 145 + km per chargeIts good for daily commute and long ride upto 150 km.High speed scooter in this price.129999/- exclusive state subsidy.Good suspensionHave some issue with handle lock, software.Sometime takes more time to start if get some issue with handle lock. It shows park mode for some time."
Ola is best electric scooter in India,2 months ago by Murtuza Faizee,5,"I riding ola s1 pro its amazing i want to purchase this amazing and low maintenance scooter, if any one purchase a new bike or scooter purchase thisOla scooter was delivered directly to my house. Riding quality is best. Range is also good and braking is best in any scooter till now as it gets front and rear disk brakes. Suspension is awesome. Handling is like a bike. You will love it."
Surely you will regret about their pathetic c,2 months ago by Lakshman,1,Please don’t buy ola. They have the most worst customer service.. There is no dedicated customer care number to contact them. Always you will end up chatting with dumb chatbot..They will not respond for any of your queries.You will be regretting for buying this your whole life..Stay away from ola.
Buy it blindly,3 months ago by Vishva Pratap Singh Sodha,5,Buying experience was very good. Scooter was delivered directly to my house.Riding quality is best. Range is also good and braking is best in any scooter till now as it gets front and rear disk brakes. Suspension is awesome. Handling is like a bike. You will love itLooks are unbeatableService and maintenance is 1/5th time of any petrol scooterNo cons till now
Go for it & buy...,3 months ago by Rohan Patil,5,"Buying experience was little complicated but riding experience is too good. Lt looks sexy and unique. Till now ridden 500+ km. It goes smooth. And on hyper mode it goes like creasy. Over all fit and finish is ok, but i am not  complaining about it. Boot space is too large and fits 2 half face helmets easily. Please don't go on what they are claiming about range. I tested 5 times and it gave me 100 to 118 km. (from 100%  battery to 20% remaining) it means i can still go 10 km."
Good effort to make electric scooter near per,4 months ago by Sarju Donga,4,"Buying experience was good. Delivery person was very friendly. Riding in hyper mode is excellent. Full power pack machine and it easily cross 100 mark, the scooter I received has no gaps or scratches. Have inspected before pre delivery. now final verdictPros-looks, quality and performanceCons- no service center, no showroom and actual range of scooter is 135km /charge it is very low than company promises during launching. and the hump in foot area should be removed it is not practical during household use in which scooters like activa does."
Great scooter in this price range and blindly,4 months ago by Omkar Mathamshetty,5,My scooter got delivered on 9th january 2022My total experience was fineI hope they have dealers because the customer care is worst Pro speed power and build quality has smart features As of now good response from service team The driving experience is super Range is 150+ in 30-40 speed in normal mode121 in 50-60 mixed mode Good suspension Cons Fit an finish is not so great panel gaps are more.As the company is new its acceptable hope they fix all this problems.
A green revolution at a fantastic price and v,4 months ago by Kshitij,5,"Got the scooter delivered on Jan 3rd, 2022. Payment process : was one of the first early adopters -  reserved her for 500 on july 23. 2 months later, paid an advance of 20k, and got an invite to take the test ride 15 days later. Paid the final amount in October, and received the delivery window of December 15-31. The ola representative called in December end for final confirmation and soon received the intimation of insurance and registration payment from icici lombard and rto respectively. Home delivered in a mini truck.Idv on insurance : 155400Actual cost : 197400 (ex showroom 163549, smart card - 200, postal fee - 50, registration - free, zero dep insurance - 7632, portable charger - 9000, performance upgrade - 17000) Fame ii subsidy : 59550 (15000 per kwh - 15000*3.97)Maharashtra state subsidy : 29850 (5000 per kwh - 5000*3.97 = 19850 + 10000 additional)Total subsidy discount : 89400Effective on road price : 108000Real world range : 135 kms in normal, 120 km in sports, 95 km in hyperArai claimed range : 181 kmsDesign language : a big fan, front leds are as powerful as a dominar's and cute like wall e's face! it's parent company etergo won the german design award in 2020, so there's that too! floorboard isn't flat, but compensates by providing a 36lt boot space, that can fit 2 half face helmets, and 1 full face ls2 ece helmet sideways. Turn indicators chime through the in built speakers. Display is 7"". Stock horn is typical road runner type (90s kids relate?)Riding : very agile, planted in corners, thick 120 section mrfs provide good grip. Seat height is 790mm and well padded and you sit taller than the traffic (i'm 6 feet). Motor whines while accelerating (it's addictive). The bugs of the beta software have been fixed, and now the scooter runs a stable os.Performance : 0-40 : 3 seconds, 0-60 : 5 seconds, top speed : 115 kmph, torque : 58nm (accelerates in hyper mode arguably as fast as a dominar 400/ duke 250)Charging : likes to take it in the ass through a 750w portable charger. Charging time : 6.5 hours. 6amp connection  taken from home. Running costs : 4.54km/rupee or rs. 0.22/km. In comparison, a bike returning  35 km/l at 105/litre equals rs.3/kmBattery warranty : 3 yearsBattery life : 7 years (claimed)Battery replacement cost : Rs. 60000 (info provided by technician, subject to drop in price as adoption increases)Niggles : delivery date was pushed by 4 days, but guess have to give ola credit for innovation, so no complaints. Future updates :March 2022 - gps, navigation and bluetoothJune 2022 - cruise control, hill hold etc"
